Date,Price,Open,High,Low,Change %
"Sep 17, 2019",4.0777,4.0944,4.117,4.0708,-0.0008
"Sep 16, 2019",4.081,4.0854,4.107,4.0745,-0.001
"Sep 13, 2019",4.0849,4.0615,4.0959,4.0429,0.0059
"Sep 12, 2019",4.0608,4.0682,4.0712,4.0266,-0.0018
"Sep 11, 2019",4.068,4.0814,4.0928,4.0507,-0.0031
"Sep 10, 2019",4.0808,4.0963,4.1302,4.0793,-0.0035
"Sep 09, 2019",4.0953,4.0639,4.105,4.048,0.0082
"Sep 06, 2019",4.0618,4.1094,4.1094,4.0531,-0.0116
"Sep 05, 2019",4.1094,4.096,4.1159,4.0704,0.0035
"Sep 04, 2019",4.095,4.1674,4.1677,4.0888,-0.0175
"Sep 03, 2019",4.1681,4.186,4.186,4.1497,-0.0045
"Sep 02, 2019",4.1871,4.1444,4.1901,4.1414,0.0101
"Aug 30, 2019",4.1453,4.1699,4.1715,4.1197,-0.0056
"Aug 29, 2019",4.1688,4.1692,4.1776,4.1414,0.0001
"Aug 28, 2019",4.1682,4.1265,4.169,4.1265,0.009
"Aug 27, 2019",4.1311,4.1579,4.1954,4.1212,-0.0063
"Aug 26, 2019",4.1571,4.1193,4.1691,4.1022,0.0091
"Aug 23, 2019",4.1198,4.0704,4.132,4.0492,0.0121
"Aug 22, 2019",4.0706,4.0263,4.0812,4.016,0.0109
"Aug 21, 2019",4.0269,4.0546,4.0551,4.0129,-0.0067
"Aug 20, 2019",4.0542,4.0754,4.0761,4.0268,-0.0049
"Aug 19, 2019",4.0743,4.0023,4.0758,3.9897,0.0171
"Aug 16, 2019",4.0058,3.9918,4.008,3.9749,0.0037
"Aug 15, 2019",3.991,4.0503,4.0515,3.9785,-0.0152
"Aug 14, 2019",4.0526,3.9639,4.0539,3.9624,0.0218
"Aug 13, 2019",3.966,3.9862,4.0136,3.9454,-0.0049
"Aug 12, 2019",3.9855,3.9393,4.0126,3.9382,0.0111
"Aug 09, 2019",3.9416,3.9203,3.9504,3.92,0.0055
"Aug 08, 2019",3.9199,3.9694,3.9703,3.9184,-0.0124
"Aug 07, 2019",3.9691,3.9619,3.9931,3.9449,0.002
"Aug 06, 2019",3.9612,3.9758,3.9866,3.9356,-0.0043
